"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 07 08:16:33 GMT 2022","Wed Dec 07 08:16:44 GMT 2022","10482","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el articulo","","CP05. Carga de contenedor de tipo BTN en el articulo",""
"failed","Wed Dec 07 08:12:57 GMT 2022","Wed Dec 07 08:13:25 GMT 2022","28676","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Wed Dec 07 08:15:09 GMT 2022","Wed Dec 07 08:15:22 GMT 2022","12986","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el articulo","","CP02. Carga de contenedor de tipo STICKY en el articulo",""
"passed","Wed Dec 07 08:15:22 GMT 2022","Wed Dec 07 08:15:44 GMT 2022","21990","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo",""
"passed","Wed Dec 07 08:14:13 GMT 2022","Wed Dec 07 08:14:32 GMT 2022","18981","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Wed Dec 07 08:14:32 GMT 2022","Wed Dec 07 08:14:44 GMT 2022","11874","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Wed Dec 07 08:13:45 GMT 2022","Wed Dec 07 08:14:02 GMT 2022","16999","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada",""
"passed","Wed Dec 07 08:14:02 GMT 2022","Wed Dec 07 08:14:13 GMT 2022","10949","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Wed Dec 07 08:15:44 GMT 2022","Wed Dec 07 08:15:58 GMT 2022","13734","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Wed Dec 07 08:13:25 GMT 2022","Wed Dec 07 08:13:45 GMT 2022","20024","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"failed","Wed Dec 07 08:14:44 GMT 2022","Wed Dec 07 08:15:09 GMT 2022","24653","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo",""
"passed","Wed Dec 07 08:16:44 GMT 2022","Wed Dec 07 08:16:53 GMT 2022","9280","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el articulo","","CP06. Carga de contenedor de tipo INTEXT en el articulo",""
"passed","Wed Dec 07 08:15:58 GMT 2022","Wed Dec 07 08:16:16 GMT 2022","18299","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Wed Dec 07 08:16:16 GMT 2022","Wed Dec 07 08:16:33 GMT 2022","17192","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
